"nanyangSiteID","SiteName-zh","siteName-en","siteName-alt1","latitude","longitude"
"bt-mb-0001","碧龍宮 青龍爺公",,"ศาลเจ้า เพ็กเล้งเกง (เจ้าพ่อมังกรเขียว)",13.7240062,100.5572314
"bt-mb-0002","(孔堤)玄天古廟",,"ศาลเจ้า พ่อเสือ",13.7228402,100.5557045
"bt-mb-0003","聯福聯誼社",,"ศาลเจ้า สมาคมสุขสบาย",13.72043,100.572843
"bt-mb-0004","南埔宮","Chao Mae A Niao","ศาลเจ้า แม่อาเหนียว",13.7220028,100.4930441
"bt-mb-0005",,,"ศาลเจ้า พ่อกวนอู (ตากสิน)",13.72153716,100.4929095
"bt-mb-0006","三奶廟 / 三奶宮",,"ศาลเจ้า ซำไนเก็ง",13.735089,100.503201
"bt-mb-0007","關帝古廟",,"ศาลเจ้า กวนอู (สมเด็จเจ้าพระยา)",13.737365,100.499951
"bt-mb-0008","玄天上帝","Chao Pho Suea Shrine (Talat Somdet)","ศาลเจ้า พ่อเสือ (พระภูมิบาล)",13.73643008,100.4987948
"bt-mb-0009","靖天宮","Chin Than Keng","ศาลเจ้า ชิ้นทันเก็ง",13.72033424,100.493202
"bt-mb-0010","地母聖娘廟","Mae Posom","ศาลเจ้า แม่โพสพ",13.81282156,100.5632943
"bt-mb-0011",,,"ศาลเจ้า บางบัว (ศาลเจ้า พ่อสมบูรณ์)",,
"bt-mb-0012",,,"ศาลเจ้า พ่อขวัญพัฒนา",13.759244,100.558814
"bt-mb-0013","水尾聖娘廟","Chui Bo Niao (Mae Thapthim Samsen)","ศาลเจ้า จุ้ยโบเบี้ยว (แม่ทับทิม)",13.78016503,100.5039804
"bt-mb-0014","本頭公",,"ศาลเจ้า ปุนเถ้ากิ่ง",13.7857939,100.5071929
"bt-mb-0015","建安宮","Gian An Geng","ศาลเจ้า เกียนอันเกง",13.740152,100.49265
"bt-mb-0016","天后聖廟","Ko Bo Shrine","ศาลเจ้า โกวบ๊อ",13.70285123,100.484179
"bt-mb-0017","萬春壇",,"ศาลเจ้า บ้วนชุนตั๊ว",13.7018916,100.489881
"bt-mb-0018","關聖帝廟",,"ศาลเจ้า กวนอู (คลองบางหลวง)",13.7354149,100.4876176
"bt-mb-0019","鳥石寺",,"ศาลเจ้า โอวเจียะหยี่อาเนี้ยเก็ง",13.7192681,100.4821055
"bt-mb-0020","網吏古廟",,"ศาลเจ้า สูง",13.72194091,100.4819282
"bt-mb-0021","老本頭公",,"ศาลเจ้า เล่าปุนเถ้ากง",13.72230178,100.4888025
"bt-mb-0022",,,"ศาลเจ้า พ่อเสือ",,
"bt-mb-0023","浣公書院","Sae Sim Shrine","ศาลเจ้า แซ่ซิ้ม",13.71986178,100.4908642
